Phases,Date,Headline,URL,Type,What it Does,Author,Desk,Image,Notes,Updates,
69,7/17/2015,European Agency Proposes Tougher Medical and Psychological Oversight of Pilots,http://www.nytimes.com/2015/07/18/world/europe/germanwings-pilot-safety-aviation-eu.html,Article,,Nicola Clark,Europe,Y,,7/17/2015 21:0;7/17/2015 13:46;7/17/2015 12:11;7/17/2015 10:22;7/17/2015 8:54;7/17/2015 8:17;7/17/2015 7:59;7/17/2015 6:46;7/17/2015 6:7;,
,,,,,,,,,,,
68,6/30/2015,Lufthansa Offers Compensation to Families of Germanwings Crash Victims,http://www.nytimes.com/2015/07/01/world/europe/lufthansa-offers-compensation-to-families-of-germanwings-crash-victims.html,Article,,Nicola Clark,Europe,N,,6/30/2015 22:16;6/30/2015 21:4;6/30/2015 18:4;,
,,,,,,,,,,,
67,6/12/2015,"Before Crash, Germanwings Pilot Searched Web for Ways to Die",http://www.nytimes.com/2015/06/13/world/europe/before-crash-germanwings-pilot-searched-web-for-ways-to-die.html,Article,,"Melissa Eddy, Nicola Clark",Europe,N,,6/13/2015 2:20;6/12/2015 19:15;6/12/2015 14:19;,
66,6/11/2015,France Opens Germanwings Crash Criminal Inquiry,http://www.nytimes.com/2015/06/12/world/europe/germanwings-crash-criminal-inquiry-planned-by-france.html,Article,,Nicola Clark,Europe,Y,,6/12/2015 1:49;6/11/2015 21:47;6/11/2015 20:46;6/11/2015 15:39;6/11/2015 15:12;6/11/2015 14:46;6/11/2015 14:21;6/11/2015 14:2;6/11/2015 13:43;6/11/2015 12:4;,
65,6/11/2015,Germanwings Victims’ Remains Return Home,http://www.nytimes.com/video/world/europe/100000003735252/germanwings-victims-remains-return-home.html,Multimedia,,,Video,Y,,08/28/2015 01:59:28 PM;08/27/2015 06:15:23 PM;06/11/2015 11:15:32 AM;06/11/2015 09:50:45 AM;06/11/2015 09:40:58 AM,
,,,,,,,,,,,
64,6/10/2015,Sorrow Revisits Town as Students Killed in Germanwings Crash Are Brought Home,http://www.nytimes.com/2015/06/11/world/europe/germanwings-crash-victims-remains-44-home.html,Article,,Melissa Eddy,Europe,Y,,6/11/2015 3:58;6/11/2015 1:21;6/10/2015 21:56;6/10/2015 13:32;6/10/2015 8:7;6/10/2015 7:46;6/10/2015 7:26;,
,,,,,,,,,,,
63,6/5/2015,Some Germanwings Victims’ Remains to Be Returned on Schedule,http://www.nytimes.com/2015/06/06/world/europe/some-germanwings-victims-remains-to-be-returned-on-schedule.html,Article,,Nicola Clark,Europe,Y / Duplicate,,6/5/2015 20:39;6/5/2015 15:34;,
,,,,,,,,,,,
62,6/4/2015,Burials From Germanwings Flight Are Delayed by Paperwork Errors,http://www.nytimes.com/2015/06/05/world/europe/families-of-germanwings-victims-lash-out-as-return-of-remains-is-delayed.html,Article,,Nicola Clark,Europe,Y,,6/4/2015 19:42;6/4/2015 14:19;,
,,,,,,,,,,,
61,5/6/2015,Preliminary Report on the Germanwings Flight 9525 Crash,http://www.nytimes.com/interactive/2015/05/06/world/europe/document-preliminary-report-on-the-germanwings-flight-9525-crash.html,Article / Report,,,Europe,N,multiple articles,08/28/2015 02:01:05 PM;08/27/2015 07:14:25 PM;07/20/2015 12:43:54 PM;05/06/2015 07:44:24 AM;05/06/2015 07:28:59 AM,
60,5/6/2015,Germanwings Co-Pilot Is Said to Have Rehearsed Steps for Crash,http://www.nytimes.com/2015/05/07/world/europe/germanwings-flight-9525-crash-andreas-lubitz.html,Article,,Nicola Clark,Europe,Y,,5/6/2015 21:57;5/6/2015 20:39;5/6/2015 17:46;5/6/2015 12:52;5/6/2015 11:36;5/6/2015 10:33;5/6/2015 10:14;5/6/2015 8:23;5/6/2015 7:48;5/6/2015 7:4;5/6/2015 6:44;,
59,5/6/2015,Co-Pilot Found to Have Rehearsed Dive,http://www.nytimes.com/video/world/europe/100000003669126/germanwings-co-pilot-rehearsed-fatal-dive-official-says.html,Multimedia,,,Video,Y,,08/28/2015 02:01:02 PM;08/27/2015 07:10:51 PM;05/06/2015 09:52:55 PM;05/06/2015 09:52:34 PM;05/06/2015 10:16:57 AM,
,,,,,,,,,,,
